MUNICÍPIO;ZONA;SEÇÃO;BAIRRO;CARGO;PARTIDO;Nº;CANDIDATO;VOTOS
RECIFE;1;111;IMBIRIBEIRA;GOVERNADOR;S/P;95;VOTO BRANCO;19
RECIFE;1;111;IMBIRIBEIRA;GOVERNADOR;PROS;90;MAURÍCIO RANDS COELHO BARROS;11
RECIFE;1;111;IMBIRIBEIRA;GOVERNADOR;PSOL;50;DANIELLE GONDIM PORTELA;12
RECIFE;1;111;IMBIRIBEIRA;GOVERNADOR;S/P;96;VOTO NULO;38
RECIFE;1;111;IMBIRIBEIRA;GOVERNADOR;PSB;40;PAULO HENRIQUE SARAIVA CÂMARA;67
RECIFE;1;111;IMBIRIBEIRA;GOVERNADOR;PTB;14;ARMANDO DE QUEIROZ MONTEIRO NETO;64
RECIFE;1;111;IMBIRIBEIRA;GOVERNADOR;PSTU;16;SIMONE FONTANA;1
RECIFE;1;111;IMBIRIBEIRA;GOVERNADOR;REDE;18;JULIO EMILIO LOSSIO DE MACEDO;7
RECIFE;1;112;IMBIRIBEIRA;GOVERNADOR;PROS;90;MAURÍCIO RANDS COELHO BARROS;8
RECIFE;1;112;IMBIRIBEIRA;GOVERNADOR;PTB;14;ARMANDO DE QUEIROZ MONTEIRO NETO;71
RECIFE;1;112;IMBIRIBEIRA;GOVERNADOR;PSOL;50;DANIELLE GONDIM PORTELA;13
RECIFE;1;112;IMBIRIBEIRA;GOVERNADOR;S/P;96;VOTO NULO;44
RECIFE;1;112;IMBIRIBEIRA;GOVERNADOR;REDE;18;JULIO EMILIO LOSSIO DE MACEDO;4
RECIFE;1;112;IMBIRIBEIRA;GOVERNADOR;PSB;40;PAULO HENRIQUE SARAIVA CÂMARA;64
RECIFE;1;112;IMBIRIBEIRA;GOVERNADOR;S/P;95;VOTO BRANCO;12
RECIFE;1;113;IMBIRIBEIRA;GOVERNADOR;PSTU;16;SIMONE FONTANA;2
RECIFE;1;113;IMBIRIBEIRA;GOVERNADOR;S/P;95;VOTO BRANCO;17
RECIFE;1;113;IMBIRIBEIRA;GOVERNADOR;PSB;40;PAULO HENRIQUE SARAIVA CÂMARA;73
RECIFE;1;113;IMBIRIBEIRA;GOVERNADOR;PTB;14;ARMANDO DE QUEIROZ MONTEIRO NETO;49
RECIFE;1;113;IMBIRIBEIRA;GOVERNADOR;PSOL;50;DANIELLE GONDIM PORTELA;15
RECIFE;1;113;IMBIRIBEIRA;GOVERNADOR;REDE;18;JULIO EMILIO LOSSIO DE MACEDO;8
RECIFE;1;113;IMBIRIBEIRA;GOVERNADOR;S/P;96;VOTO NULO;40
RECIFE;1;113;IMBIRIBEIRA;GOVERNADOR;PROS;90;MAURÍCIO RANDS COELHO BARROS;13
