Cod_ID;UDH_Atlas;NOME_UDH;CODMUN6;NOME_MUN;CODUF;NOME_UF;CODRM;NOME_RM;ANO;ESPVIDA;FECTOT;MORT1;MORT5;SOBRE40;SOBRE60;RAZDEP;T_ENV;E_ANOSESTUDO;T_ANALF11A14;T_ANALF15A17;T_ANALF15M;T_ANALF18A24;T_ANALF18M;T_ANALF25A29;T_ANALF25M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FBBAS;T_FBFUND;T_FBMED;T_FBSUPER;T_FLBAS;T_FLFUND;T_FLMED;T_FLSUPER;T_FREQ0A5;T_FREQ15A17;T_FREQ18A24;T_FREQ25A29;T_FREQ5A6;T_FREQ6A14;T_FREQ6A17;T_FREQFUND1517;T_FREQFUND1824;T_FREQMED1824;T_FUND11A13;T_FUND15A17;T_FUND18A24;T_FUND18M;T_FUND25M;T_MED18A20;T_MED18A24;T_MED18M;T_MED25M;T_SUPER25M;CORTE1;CORTE2;CORTE3;CORTE4;CORTE9;GINI;PIND;PINDCRI;PMPOB;PMPOBCRI;PPOB;PPOBCRI;PREN10RICOS;PREN20;PREN20RICOS;PREN40;PREN60;PREN80;PRENTRAB;R1040;R2040;RDPC;RDPC1;RDPC10;RDPC2;RDPC3;RDPC4;RDPC5;RDPCT;RIND;RMPOB;RPOB;THEIL;P_AGRO;P_COM;P_CONSTR;P_EXTR;P_SERV;P_SIUP;P_TRANSF;CPR;EMP;P_FORMAL;TRABCC;TRABPUB;TRABSC;P_FUND;P_MED;P_SUPER;REN0;REN1;REN2;REN3;REN5;RENOCUP;THEILtrab;T_ATIV;T_ATIV1014;T_ATIV1517;T_ATIV1824;T_ATIV18M;T_ATIV2529;T_DES;T_DES1014;T_DES1517;T_DES1824;T_DES18M;T_DES2529;T_AGUA;T_BANAGUA;T_DENS;T_LIXO;T_LUZ;AGUA_ESGOTO;PAREDE;T_CRIFUNDIN_TODOS;T_FORA0A5;T_FORA6A14;T_FUNDIN_TODOS;T_FUNDIN_TODOS_MMEIO;T_FUNDIN18MINF;T_M10A17CF;T_MULCHEFEFIF014;T_NESTUDA_NTRAB_MMEIO;T_OCUPDESLOC_1;T_RMAXIDOSO;T_SLUZ;T_VULNERA_NESTUDA_NTRAB_MMEIO;T_VULNERA_MULCHEFE;T_VULNERA_RMAXIDOSO;T_VULNERA_OCUPDESLOC_13;HOMEM0A4;HOMEM10A14;HOMEM15A19;HOMEM20A24;HOMEM25A29;HOMEM30A34;HOMEM35A39;HOMEM40A44;HOMEM45A49;HOMEM50A54;HOMEM55A59;HOMEM5A9;HOMEM60A64;HOMEM65A69;HOMEM70A74;HOMEM75A79;HOMENS80;HOMEMTOT;MULH0A4;MULH10A14;MULH15A19;MULH20A24;MULH25A29;MULH30A34;MULH35A39;MULH40A44;MULH45A49;MULH50A54;MULH55A59;MULH5A9;MULH60A64;MULH65A69;MULH70A74;MULH75A79;MULHER80;MULHERTOT;PEA;PEA1014;PEA1517;PEA18M;PESO1;PESO1114;PESO1113;PESO1214;PESO13;PESO15;PESO1517;PESO1524;PESO1618;PESO18;PESO1820;PESO1824;PESO1921;PESO25;PESO4;PESO5;PESO6;PESO610;PESO617;PESO65;PESOM1014;PESOM1517;PESOM15M;PESOM25M;PESORUR;PESOTOT;PESOURB;PIA;PIA1014;PIA1517;PIA18M;POP;POPT;MULCHEFEFDOM;DOMVULNERACOMID;POPVULNERAVEL15A24;OCUPMMEIOD;T_FBFUND_tudo;T_FBMED_tudo;T_FBBAS_tudo;T_FLFUND_tudo;T_FLMED_tudo;T_FLBAS_tudo;T_FUND11A13_tudo;I_ESCOLARIDADE;I_FREQ_PROP;IDHM;IDHM_E;IDHM_L;IDHM_R
1260005400001;1260005400001;Centro / Alto da Bela Vista / Timbó : BR 101;260005;Abreu E Lima (PE);26;PE;62600;RM Recife (PE);2000;68,90;1,95;39,50;50,04;88,96;75,03;47,56;7,18;9,56;3,12;2,30;12,08;4,30;12,88;4,65;15,02;27,47;18,83;118,00;127,19;93,01;5,71;89,04;91,23;33,74;1,96;38,06;87,88;36,77;9,71;85,49;93,61;92,07;46,74;12,50;18,72;72,50;40,83;58,59;45,08;41,49;22,16;26,94;23,60;22,72;2,07;117,13;183,50;292,81;460,69;694,67;0,48;8,88;13,32;24,22;34,20;54,43;67,53;36,65;4,04;53,35;12,88;26,16;46,65;73,94;11,38;8,28;347,30;70,09;1272,85;153,59;230,62;355,74;926,45;349,88;42,58;79,86;139,18;0,41;2,02;17,26;5,13;0,00;50,76;0,71;20,70;21,58;1,90;60,40;48,69;7,08;19,59;52,96;33,08;3,44;1,17;48,13;79,25;88,63;95,81;848,39;0,40;;4,74;18,81;60,93;60,29;74,12;;72,66;50,29;44,19;26,06;29,15;98,99;91,95;36,73;89,81;100,00;4,94;;35,33;61,94;6,39;29,79;21,06;44,66;4,73;51,36;18,34;;4,10;0,00;33,16;21,47;57,33;;198;191;229;207;205;197;174;146;102;85;68;183;66;49;41;26;20;2185;194;210;227;242;228;216;194;165;123;104;86;185;77;73;51;31;42;2446;;19;49;1935;85;310;229;239;228;3471;261;904;288;3210;278;643;263;2568;80;74;91;384;955;333;210;128;1858;1390;0;4631;4631;3872;401;261;3210;4627;;;;;;128,90;109,35;123,64;93,61;40,43;92,07;84,72;0,45;0,55;0,612;0,516;0,732;0,606
1260005400002;1260005400002;Desterro / Matinha / Fosfato : Vila da Caixa / BR 101;260005;Abreu E Lima (PE);26;PE;62600;RM Recife (PE);2000;68,90;1,95;39,50;50,04;88,96;75,03;48,59;5,68;9,56;4,70;2,21;11,63;3,55;12,40;4,27;14,75;27,47;18,83;118,00;127,19;93,01;5,71;89,04;91,23;33,74;1,96;38,06;87,88;36,77;9,71;85,49;93,61;92,07;46,74;12,50;18,72;72,50;40,83;58,59;45,08;41,49;22,16;26,94;23,60;22,72;2,07;117,13;183,50;292,81;460,69;694,67;0,48;8,88;13,32;24,22;34,20;54,43;67,53;36,65;4,04;53,35;12,88;26,16;46,65;73,94;11,38;8,28;347,30;70,09;1272,85;153,59;230,62;355,74;926,45;349,88;42,58;79,86;139,18;0,41;2,02;17,26;5,13;0,00;50,76;0,71;20,70;21,58;1,90;60,40;48,69;7,08;19,59;52,96;33,08;3,44;1,17;48,13;79,25;88,63;95,81;848,39;0,40;;4,74;18,81;60,93;60,29;74,12;;72,66;50,29;44,19;26,06;29,15;98,75;91,95;36,73;89,81;100,00;4,94;;35,33;61,94;6,39;29,79;21,06;44,66;4,73;51,36;18,34;;4,10;0,00;33,16;21,47;57,33;;357;387;337;391;379;337;302;215;169;145;117;349;95;65;54;35;37;3767;349;353;384;430;394;373;328;237;208;180;144;321;112;86;79;43;49;4065;;35;81;3188;138;586;441;443;434;5718;431;1542;449;5288;425;1112;434;4176;134;143;137;681;1697;445;353;228;3043;2229;0;7832;7832;6458;740;431;5288;7790;;;;;;128,90;109,35;123,64;93,61;40,43;92,07;84,72;0,45;0,55;0,612;0,516;0,732;0,606
1260005400003;1260005400003;Centro / Timbó / Alto São Miguel / Jardim Caetés : Câmara Municipal;260005;Abreu E Lima (PE);26;PE;62600;RM Recife (PE);2000;67,31;2,18;44,80;56,69;87,60;72,48;49,15;6,52;9,21;4,38;3,02;13,06;3,28;13,93;5,71;16,62;32,00;23,46;117,85;134,76;75,97;0,99;89,01;94,96;24,32;0,19;38,69;75,70;34,93;6,28;94,15;98,02;91,60;48,75;11,70;19,97;64,83;29,77;54,94;38,99;34,70;13,66;22,61;18,12;16,91;1,24;87,84;156,17;234,25;342,59;517,30;0,44;11,94;17,65;33,54;44,74;64,74;73,32;32,68;4,49;48,69;14,34;29,18;51,31;70,27;9,12;6,79;256,49;57,52;838,30;126,33;190,40;283,82;624,37;260,30;44,03;80,98;133,45;0,33;2,10;17,72;9,35;0,00;41,38;0,63;23,97;25,47;1,33;55,82;50,02;2,65;19,23;51,14;28,49;2,20;1,29;56,29;88,15;94,81;98,86;651,66;0,30;;2,29;24,00;65,62;57,91;75,43;;0,00;59,37;50,01;27,61;26,16;99,23;87,73;40,17;94,18;100,00;6,74;;36,74;61,31;1,98;32,29;25,56;52,21;4,11;63,57;27,27;;5,86;0,00;39,43;3,60;54,01;;515;445;506;529;484;475;393;324;224;209;146;461;131;104;80;43;48;5113;463;526;533;540;533;520;407;365;283;264;185;444;192;138;120;87;86;5683;;22;151;4235;196;776;583;570;583;7943;630;2107;651;7313;636;1477;620;5837;199;177;176;923;2329;704;526;312;4251;3178;0;10795;10795;8914;971;630;7313;10788;;;;;;140,75;78,84;122,95;98,02;28,19;92,32;75,46;0,39;0,51;0,567;0,464;0,705;0,557
1260005400004;1260005400004;Planalto : Rua Almirante Tamandaré;260005;Abreu E Lima (PE);26;PE;62600;RM Recife (PE);2000;67,31;2,18;44,80;56,69;87,60;72,48;70,14;6,85;9,21;2,60;5,08;18,83;2,29;20,24;4,88;25,57;32,00;23,46;117,85;134,76;75,97;0,99;89,01;94,96;24,32;0,19;38,69;75,70;34,93;6,28;94,15;98,02;91,60;48,75;11,70;19,97;64,83;29,77;54,94;38,99;34,70;13,66;22,61;18,12;16,91;1,24;87,84;156,17;234,25;342,59;517,30;0,44;11,94;17,65;33,54;44,74;64,74;73,32;32,68;4,49;48,69;14,34;29,18;51,31;70,27;9,12;6,79;256,49;57,52;838,30;126,33;190,40;283,82;624,37;260,30;44,03;80,98;133,45;0,33;2,10;17,72;9,35;0,00;41,38;0,63;23,97;25,47;1,33;55,82;50,02;2,65;19,23;51,14;28,49;2,20;1,29;56,29;88,15;94,81;98,86;651,66;0,30;;2,29;24,00;65,62;57,91;75,43;;0,00;59,37;50,01;27,61;26,16;98,63;87,73;40,17;94,18;100,00;6,74;;36,74;61,31;1,98;32,29;25,56;52,21;4,11;63,57;27,27;;5,86;0,00;39,43;3,60;54,01;;50;41;43;44;39;36;25;15;15;11;13;40;11;11;6;6;8;414;61;65;49;54;43;39;31;19;21;19;20;74;19;8;6;4;17;549;;2;14;332;24;77;60;56;65;632;59;190;54;573;54;131;63;442;22;29;28;114;250;66;65;31;349;246;963;963;0;738;106;59;573;875;;;;;;140,75;78,84;122,95;98,02;28,19;92,32;75,46;0,39;0,51;0,567;0,464;0,705;0,557
1260005400005;1260005400005;Jardim Caetés / Caetés III / Planalto / Desterro : Rua do Eucalipto / Rua Boa Sorte;260005;Abreu E Lima (PE);26;PE;62600;RM Recife (PE);2000;66,11;2,36;49,10;62,04;86,52;70,53;53,31;4,07;8,20;7,81;5,37;16,87;7,07;18,04;9,37;21,35;34,20;26,09;104,79;122,78;52,89;1,09;84,58;90,29;21,28;0,82;28,24;68,11;24,10;6,72;72,51;91,64;85,58;45,54;11,38;10,42;51,79;25,88;37,22;24,61;20,64;13,69;17,41;11,74;9,95;0,78;68,32;122,49;182,20;294,11;404,25;0,46;20,93;29,29;45,32;58,24;75,77;84,71;33,45;3,64;50,06;12,91;27,60;49,94;70,63;10,36;7,76;204,79;37,24;684,96;94,94;150,40;228,77;512,61;213,40;38,61;73,58;119,55;0,34;10,94;16,63;9,13;0,00;39,92;0,87;17,60;24,12;1,23;44,89;39,87;2,50;27,12;30,54;16,11;1,09;5,28;68,54;91,58;96,29;98,97;511,99;0,27;;5,97;23,28;62,77;58,67;70,45;;19,49;48,86;33,33;23,26;27,94;97,58;62,90;46,52;74,41;99,63;25,31;;59,76;71,76;8,36;53,94;45,84;63,40;6,87;80,31;29,82;;4,23;0,37;39,47;38,20;44,16;;572;554;579;539;516;466;366;270;229;199;129;562;118;66;58;37;32;5288;557;547;564;576;536;445;391;304;257;229;172;516;145;99;72;41;35;5481;;66;160;3974;223;897;657;682;675;7462;689;2258;709;6774;678;1569;659;5205;231;227;193;1055;2640;439;547;350;3862;2722;3329;10768;7439;8563;1101;689;6774;10752;;;;;;124,96;57,45;107,58;91,44;22,83;85,83;69,79;0,25;0,41;0,498;0,346;0,685;0,521
1260005400006;1260005400006;Centro ( Alto da Bela Vista );260005;Abreu E Lima (PE);26;PE;62600;RM Recife (PE);2000;66,11;2,36;49,10;62,04;86,52;70,53;45,26;5,73;8,20;1,55;0,00;13,93;8,16;15,06;5,48;16,95;34,20;26,09;104,79;122,78;52,89;1,09;84,58;90,29;21,28;0,82;28,24;68,11;24,10;6,72;72,51;91,64;85,58;45,54;11,38;10,42;51,79;25,88;37,22;24,61;20,64;13,69;17,41;11,74;9,95;0,78;68,32;122,49;182,20;294,11;404,25;0,46;20,93;29,29;45,32;58,24;75,77;84,71;33,45;3,64;50,06;12,91;27,60;49,94;70,63;10,36;7,76;204,79;37,24;684,96;94,94;150,40;228,77;512,61;213,40;38,61;73,58;119,55;0,34;10,94;16,63;9,13;0,00;39,92;0,87;17,60;24,12;1,23;44,89;39,87;2,50;27,12;30,54;16,11;1,09;5,28;68,54;91,58;96,29;98,97;511,99;0,27;;5,97;23,28;62,77;58,67;70,45;;19,49;48,86;33,33;23,26;27,94;99,58;62,90;46,52;74,41;99,63;25,31;;59,76;71,76;8,36;53,94;45,84;63,40;6,87;80,31;29,82;;4,23;0,37;39,47;38,20;44,16;;20;29;25;33;22;20;17;17;14;10;11;22;10;6;3;2;2;262;23;24;27;28;26;25;22;23;17;13;9;23;11;4;6;5;3;290;;3;7;224;7;43;31;34;27;412;31;113;33;381;33;82;32;299;9;10;8;44;118;32;24;17;220;165;0;553;553;465;53;31;381;553;;;;;;124,96;57,45;107,58;91,44;22,83;85,83;69,79;0,25;0,41;0,498;0,346;0,685;0,521
1260005400007;1260005400007;Caetés I / Caetés III : Av. D;260005;Abreu E Lima (PE);26;PE;62600;RM Recife (PE);2000;67,43;2,14;44,40;56,20;87,70;72,66;45,71;3,65;9,45;4,36;2,46;8,43;2,97;9,09;3,44;11,02;31,90;22,38;124,90;140,31;88,60;4,55;92,59;95,04;30,88;2,47;41,27;85,04;41,74;8,98;90,92;97,53;93,81;52,79;13,78;21,41;61,21;35,89;63,32;44,34;38,12;22,42;27,52;21,78;19,89;1,76;98,26;156,17;234,64;361,14;489,00;0,42;10,24;14,31;33,92;43,65;65,23;72,61;31,13;5,25;47,16;15,13;30,35;52,84;74,03;8,23;6,23;259,07;68,04;806,40;127,95;197,19;291,31;610,85;259,13;51,15;88,79;140,32;0,30;0,89;14,41;4,90;0,00;54,57;0,27;20,50;20,90;1,44;59,37;52,35;5,28;18,31;53,43;29,35;2,13;1,72;55,64;83,81;92,82;97,79;668,01;0,28;;3,06;19,87;64,11;59,90;73,06;;45,89;73,99;45,00;26,34;27,47;99,59;96,27;43,31;93,97;100,00;1,42;;32,67;58,73;2,47;27,22;20,66;45,93;3,73;57,49;17,03;;5,93;0,00;25,90;27,17;59,39;;704;922;1097;876;622;600;635;581;495;357;208;752;151;78;74;47;40;8234;723;905;1061;881;673;709;809;692;535;395;216;751;189;143;109;73;65;8924;;56;247;6685;273;1502;1114;1155;866;12402;1241;3914;1336;11161;1290;2673;1174;8488;289;299;292;1529;4272;627;905;616;6546;4605;0;17158;17158;14229;1827;1241;11161;17142;;;;;;143,68;99,10;130,39;97,53;34,40;94,64;79,93;0,44;0,53;0,581;0,497;0,707;0,559
1260005400008;1260005400008;Caetés II / Distrito Industrial : Av. A;260005;Abreu E Lima (PE);26;PE;62600;RM Recife (PE);2000;67,31;2,18;44,80;56,69;87,60;72,48;42,65;3,17;9,21;5,10;7,38;7,69;3,14;7,73;2,96;9,16;32,00;23,46;117,85;134,76;75,97;0,99;89,01;94,96;24,32;0,19;38,69;75,70;34,93;6,28;94,15;98,02;91,60;48,75;11,70;19,97;64,83;29,77;54,94;38,99;34,70;13,66;22,61;18,12;16,91;1,24;87,84;156,17;234,25;342,59;517,30;0,44;11,94;17,65;33,54;44,74;64,74;73,32;32,68;4,49;48,69;14,34;29,18;51,31;70,27;9,12;6,79;256,49;57,52;838,30;126,33;190,40;283,82;624,37;260,30;44,03;80,98;133,45;0,33;2,10;17,72;9,35;0,00;41,38;0,63;23,97;25,47;1,33;55,82;50,02;2,65;19,23;51,14;28,49;2,20;1,29;56,29;88,15;94,81;98,86;651,66;0,30;;2,29;24,00;65,62;57,91;75,43;;0,00;59,37;50,01;27,61;26,16;98,88;87,73;40,17;94,18;100,00;6,74;;36,74;61,31;1,98;32,29;25,56;52,21;4,11;63,57;27,27;;5,86;0,00;39,43;3,60;54,01;;188;275;373;230;195;172;201;196;150;72;46;197;27;26;21;13;7;2386;195;225;292;223;194;200;196;236;135;92;45;183;40;31;22;16;15;2336;;11;93;1780;81;422;312;314;225;3460;386;1118;406;3074;398;732;338;2342;77;69;74;389;1197;150;225;169;1733;1218;112;4722;4610;3960;500;386;3074;4607;;;;;;140,75;78,84;122,95;98,02;28,19;92,32;75,46;0,39;0,51;0,567;0,464;0,705;0,557
1260005400009;1260005400009;Caetés I ( Vila Frei Damião );260005;Abreu E Lima (PE);26;PE;62600;RM Recife (PE);2000;66,11;2,36;49,10;62,04;86,52;70,53;60,85;2,47;8,20;8,50;9,46;10,88;2,86;11,02;8,01;13,93;34,20;26,09;104,79;122,78;52,89;1,09;84,58;90,29;21,28;0,82;28,24;68,11;24,10;6,72;72,51;91,64;85,58;45,54;11,38;10,42;51,79;25,88;37,22;24,61;20,64;13,69;17,41;11,74;9,95;0,78;68,32;122,49;182,20;294,11;404,25;0,46;20,93;29,29;45,32;58,24;75,77;84,71;33,45;3,64;50,06;12,91;27,60;49,94;70,63;10,36;7,76;204,79;37,24;684,96;94,94;150,40;228,77;512,61;213,40;38,61;73,58;119,55;0,34;10,94;16,63;9,13;0,00;39,92;0,87;17,60;24,12;1,23;44,89;39,87;2,50;27,12;30,54;16,11;1,09;5,28;68,54;91,58;96,29;98,97;511,99;0,27;;5,97;23,28;62,77;58,67;70,45;;19,49;48,86;33,33;23,26;27,94;94,55;62,90;46,52;74,41;99,63;25,31;;59,76;71,76;8,36;53,94;45,84;63,40;6,87;80,31;29,82;;4,23;0,37;39,47;38,20;44,16;;144;98;103;100;103;84;65;36;32;24;20;111;8;9;3;7;4;947;130;91;100;107;116;88;74;49;38;26;15;107;15;8;8;4;8;980;;11;26;665;59;147;108;115;163;1245;111;409;117;1134;133;298;137;837;52;50;34;210;468;48;91;57;652;446;0;1926;1926;1434;189;111;1134;1907;;;;;;124,96;57,45;107,58;91,44;22,83;85,83;69,79;0,25;0,41;0,498;0,346;0,685;0,521
1260005400010;1260005400010;Caetés I / Caetés II / Caetés III / Timbó : Rua das Ninfas / Rua Córrego da Areia;260005;Abreu E Lima (PE);26;PE;62600;RM Recife (PE);2000;66,11;2,36;49,10;62,04;86,52;70,53;51,40;3,50;8,20;5,61;3,10;11,35;5,06;12,29;5,81;14,63;34,20;26,09;104,79;122,78;52,89;1,09;84,58;90,29;21,28;0,82;28,24;68,11;24,10;6,72;72,51;91,64;85,58;45,54;11,38;10,42;51,79;25,88;37,22;24,61;20,64;13,69;17,41;11,74;9,95;0,78;68,32;122,49;182,20;294,11;404,25;0,46;20,93;29,29;45,32;58,24;75,77;84,71;33,45;3,64;50,06;12,91;27,60;49,94;70,63;10,36;7,76;204,79;37,24;684,96;94,94;150,40;228,77;512,61;213,40;38,61;73,58;119,55;0,34;10,94;16,63;9,13;0,00;39,92;0,87;17,60;24,12;1,23;44,89;39,87;2,50;27,12;30,54;16,11;1,09;5,28;68,54;91,58;96,29;98,97;511,99;0,27;;5,97;23,28;62,77;58,67;70,45;;19,49;48,86;33,33;23,26;27,94;98,64;62,90;46,52;74,41;99,63;25,31;;59,76;71,76;8,36;53,94;45,84;63,40;6,87;80,31;29,82;;4,23;0,37;39,47;38,20;44,16;;132;170;182;161;116;104;111;104;78;45;33;138;23;15;9;9;11;1434;168;158;173;149;126;137;115;113;95;48;33;140;23;23;14;14;11;1536;;20;49;1089;57;268;192;196;174;2066;210;665;214;1856;213;455;194;1401;69;48;53;289;767;104;158;110;1071;749;0;2970;2970;2394;328;210;1856;2970;;;;;;124,96;57,45;107,58;91,44;22,83;85,83;69,79;0,25;0,41;0,498;0,346;0,685;0,521
